CMN,sesso,cittadinanza,anno,valore
1014,F,S,2019,39
1014,F,S,2020,38
1014,F,T,2018,639
1014,F,T,2019,636
1014,F,T,2020,630
1014,M,I,2018,579
1014,M,I,2019,574
1014,M,I,2020,569
1014,M,S,2018,35
1014,M,S,2019,34
1014,M,S,2020,36
1014,M,T,2018,614
1014,M,T,2019,608
1014,M,T,2020,605
1014,T,I,2018,1179
1014,T,I,2019,1171
1014,T,I,2020,1161
1014,T,S,2018,74
1014,T,S,2019,73
1014,T,S,2020,74
1014,T,T,2018,1253
1014,T,T,2019,1244
1014,T,T,2020,1235
1015,F,I,2018,399
1015,F,I,2019,409
1015,F,I,2020,400
1015,F,S,2018,18
1015,F,S,2019,17
1015,F,S,2020,15
1015,F,T,2018,417
1015,F,T,2019,426
1015,F,T,2020,415
1015,M,I,2018,365
1015,M,I,2019,362
1015,M,I,2020,362
1015,M,S,2018,8
1015,M,S,2019,9
1015,M,S,2020,10
1015,M,T,2018,373
1015,M,T,2019,371
1015,M,T,2020,372
1015,T,I,2018,764
1015,T,I,2019,771
1015,T,I,2020,762
1015,T,S,2018,26
1015,T,S,2019,26
1015,T,S,2020,25
1015,T,T,2018,790
1015,T,T,2019,797
1015,T,T,2020,787
1016,F,I,2018,1565
1016,F,I,2019,1559
1016,F,I,2020,1514
1016,F,S,2018,71
1016,F,S,2019,65
1016,F,S,2020,62
1016,F,T,2018,1636
1016,F,T,2019,1624
1016,F,T,2020,1576
1016,M,I,2018,1474
1016,M,I,2019,1470
1016,M,I,2020,1441
1016,M,S,2018,65
1016,M,S,2019,59
1016,M,S,2020,47
1016,M,T,2018,1539
1016,M,T,2019,1529
1016,M,T,2020,1488
1016,T,I,2018,3039
1016,T,I,2019,3029
1016,T,I,2020,2955
1016,T,S,2018,136
1016,T,S,2019,124
1016,T,S,2020,109
1016,T,T,2018,3175
1016,T,T,2019,3153
1016,T,T,2020,3064
1017,F,I,2018,267
1017,F,I,2019,262
1017,F,I,2020,259
1017,F,S,2018,14
1017,F,S,2019,12
1017,F,S,2020,14
1017,F,T,2018,281
1017,F,T,2019,274
1017,F,T,2020,273
1017,M,I,2018,247
1017,M,I,2019,247
1017,M,I,2020,249
1017,M,S,2018,15
1017,M,S,2019,10
1017,M,S,2020,11
1017,M,T,2018,262
1017,M,T,2019,257
1017,M,T,2020,260
1017,T,I,2018,514
1017,T,I,2019,509
1017,T,I,2020,508
1017,T,S,2018,29
1017,T,S,2019,22
1017,T,S,2020,25
1017,T,T,2018,543
1017,T,T,2019,531
1017,T,T,2020,533
1018,F,I,2018,1741
1018,F,I,2019,1717
1018,F,I,2020,1768
1018,F,S,2018,88
1018,F,S,2019,93
1018,F,S,2020,78
1018,F,T,2018,1829
1018,F,T,2019,1810
1018,F,T,2020,1846
1018,M,I,2018,1747
1018,M,I,2019,1740
1018,M,I,2020,1777
1018,M,S,2018,48
1018,M,S,2019,51
1018,M,S,2020,48
1018,M,T,2018,1795
1018,M,T,2019,1791
1018,M,T,2020,1825
1018,T,I,2018,3488
1018,T,I,2019,3457
1018,T,I,2020,3545
1018,T,S,2018,136
1018,T,S,2019,144
1018,T,S,2020,126
1018,T,T,2018,3624
1018,T,T,2019,3601
1018,T,T,2020,3671
1019,F,I,2018,51
1019,F,I,2019,51
1019,F,I,2020,49
1019,F,S,2018,1
1019,F,S,2019,1
1019,F,S,2020,1
1019,F,T,2018,52
1019,F,T,2019,52
1019,F,T,2020,50
1019,M,I,2018,61
