CMN,anziani,fam,istr_sup,maschi,minori,occ,pop,stran
56058,855,1927,263,2123,648,1653,4325,365
56059,11770,30208,8392,32103,9865,26721,66113,6460
56060,605,2112,488,2587,980,2230,5234,259
57001,143,309,35,289,58,209,555,54
57002,582,1222,132,1231,261,951,2320,147
57003,488,1093,160,1197,302,940,2371,161
57004,61,127,11,117,21,80,213,22
57005,144,315,35,321,99,238,637,29
57006,147,343,39,307,56,243,589,42
57007,760,1827,266,2202,582,1577,4260,195
57008,202,420,79,439,111,379,934,39
57009,489,1137,187,1204,319,988,2481,117
57010,321,752,112,814,202,640,1634,98
57011,155,369,40,342,83,258,699,81
57012,266,561,110,591,165,439,1210,95
57013,66,139,15,141,17,103,267,19
57014,214,488,90,513,119,349,994,91
57015,290,605,75,602,151,451,1209,73
57016,1287,2817,478,3189,905,2569,6503,315
57017,125,254,18,224,29,150,415,29
57018,104,239,33,208,21,152,395,28
57019,96,189,19,193,39,127,359,29
57020,33,94,11,74,3,57,135,9
57021,325,683,97,749,169,561,1507,85
57022,112,223,18,228,54,163,465,31
57023,71,143,14,135,31,104,282,16
57024,151,273,31,302,63,214,583,40
57025,681,1788,325,1903,604,1535,3772,285
57026,136,276,30,283,72,190,531,41
57027,2053,5554,1068,6789,2253,5395,13738,1859
57028,324,645,73,635,99,466,1215,63
57029,527,1440,194,1524,457,1071,3024,425
57030,108,314,55,358,116,286,727,100
57031,381,730,110,741,185,572,1492,92
57032,77,195,31,185,52,126,375,57
57033,507,1197,122,1074,215,908,2141,148
57034,170,299,32,283,50,156,553,41
57035,741,1555,217,1738,494,1309,3527,275
57036,28,54,6,42,2,25,76,0
57037,33,78,4,65,7,48,114,4
57038,137,260,28,241,51,168,494,20
57039,96,191,20,206,60,139,382,15
57040,204,398,63,440,94,326,872,87
57041,259,539,70,578,151,440,1184,65
57042,84,137,26,146,23,96,278,21
57043,169,320,25,329,73,232,648,50
57044,718,1749,306,2015,633,1608,4081,284
57045,86,178,11,174,48,121,344,24
57046,48,127,10,113,15,78,191,10
57047,106,250,38,210,28,145,390,35
57048,46,98,12,80,5,46,155,6
57049,504,1004,86,976,208,642,1925,69
57050,255,569,63,576,99,376,1055,46
57051,405,814,110,993,256,716,1986,124
57052,239,600,92,599,190,457,1240,104
57053,1057,2784,561,3014,918,2400,6152,805
57054,483,1296,226,1376,382,1060,2763,373
57055,448,1129,154,1308,355,985,2513,312
57056,107,264,41,278,62,186,522,48
57057,141,316,24,312,51,243,589,51
57058,116,212,12,151,18,85,315,31
57059,8915,20852,5939,22098,6336,19030,45907,3344
57060,259,526,89,576,152,451,1138,72
57061,134,275,50,267,72,174,552,35
57062,203,435,54,415,73,268,783,42
57063,108,226,27,246,73,174,514,22
57064,555,1485,232,1633,449,1169,3138,442
57065,233,482,70,546,154,371,1081,78
57066,340,1025,159,1101,335,871,2211,509
57067,271,633,88,687,193,502,1382,134
57068,187,494,52,527,153,381,1057,136
57069,274,678,86,728,140,481,1364,193
57070,297,543,97,605,144,459,1196,104
57071,47,130,11,136,16,77,228,28
57072,78,122,14,111,16,78,226,9
57073,52,109,6,98,13,69,177,29
58001,271,639,91,717,205,534,1439,47
58002,302,749,100,833,270,659,1703,137
58003,6384,16558,4135,18988,6686,15633,39672,3465
58004,708,1721,235,1898,543,1498,3831,187
58005,2765,7775,1820,9300,3271,7527,19018,1716
58006,125,398,58,410,121,323,825,58
58007,8780,24517,5118,28907,9901,19560,57838,7457
58008,261,635,92,625,125,477,1262,25
58009,3114,7399,2036,8775,2837,7030,18307,1543
58010,309,686,120,645,175,549,1402,83
58011,1879,5315,819,6773,2457,4982,13664,1006
58012,484,1198,146,1319,376,984,2727,104
58013,3047,8254,2208,8893,3032,7285,18560,1954
58014,92,230,14,208,43,132,403,13
58015,1536,4634,1052,5303,1911,4390,10990,1714
58016,697,1849,339,2024,613,1593,4128,235
58017,60,160,33,192,29,125,349,37
58018,1199,4434,882,5392,2060,4455,10695,1585
58019,63,202,21,167,29,126,316,36
58020,948,1845,356,2010,564,1472,4141,154
58021,139,328,35,322,77,218,662,98
58022,1379,3623,911,4063,1420,3477,8585,787
58023,1130,3019,523,3554,1182,2843,7133,619
58024,1230,3496,908,4157,1325,3260,8423,1160
58025,123,392,83,404,114,341,839,56
58026,1491,4446,710,5345,1800,4116,10728,1151
58027,184,487,71,528,165,447,1080,92
58028,84,256,38,244,39,188,442,42
58029,5953,16481,3084,18467,6038,14576,37504,3230
58030,235,597,88,649,171,469,1259,90
58031,132,287,39,276,52,204,584,59
58032,9185,21204,4676,24984,8237,20207,52069,2898
58033,302,925,145,1005,309,809,1993,470
58034,3837,8832,2289,9995,3105,8006,20698,1950
58035,627,1722,358,2038,756,1716,4224,446
58036,1866,6405,1211,7932,3148,6439,15722,2365
58037,108,229,34,224,50,159,457,43
58038,1856,5227,1721,6363,2443,5237,13249,1412
58039,3828,9299,3161,10790,3824,9009,22624,1704
58040,776,2618,391,3209,1194,2374,6408,737
58041,302,746,144,971,281,764,1920,78
58042,971,2461,422,2837,867,2186,5724,473
58043,3812,9267,2272,11266,3589,9066,23221,1931
58044,244,571,65,584,158,428,1163,71
58045,138,327,62,349,103,252,698,48
58046,3818,8384,3372,9493,3308,7754,20337,1572
58047,11723,34776,7110,43502,16045,34311,87875,10711
58048,103,189,26,172,25,98,355,5
58049,756,2499,466,3135,1198,2572,6333,550
58050,1712,5256,977,6418,2287,5148,12851,1243
58051,167,431,34,437,144,257,880,82
