CMN,dominio,anno,valore
18182,F,2018,18473
18182,F,2019,18555
18182,PF,2018,38458
18182,PF,2019,38379
18183,F,2018,74
18183,F,2019,70
18183,PF,2018,126
18183,PF,2019,120
18184,F,2018,526
18184,F,2019,519
18184,PF,2018,950
18184,PF,2019,945
18185,F,2018,689
18185,F,2019,687
18185,PF,2018,1697
18185,PF,2019,1684
18186,F,2018,453
18186,F,2019,455
18186,PF,2018,998
18186,PF,2019,977
18187,F,2018,225
18187,F,2019,227
18187,PF,2018,470
18187,PF,2019,474
18188,F,2018,194
18188,F,2019,189
18188,PF,2018,401
18188,PF,2019,391
18189,F,2018,772
18189,F,2019,761
18189,PF,2018,1734
18189,PF,2019,1715
18190,F,2018,1385
18190,F,2019,1382
18190,PF,2018,3146
18190,PF,2019,3133
18191,F,2018,393
18191,F,2019,394
18191,PF,2018,845
18191,PF,2019,836
18192,F,2018,1055
18192,F,2019,1047
18192,PF,2018,2460
18192,PF,2019,2470
18193,F,2019,592
18193,PF,2019,1073
19001,F,2018,478
19001,F,2019,478
19001,PF,2018,1113
19001,PF,2019,1104
19002,F,2018,1567
19002,F,2019,1575
19002,PF,2018,3892
19002,PF,2019,3881
19003,F,2018,850
19003,F,2019,852
19003,PF,2018,1988
19003,PF,2019,1968
19004,F,2018,272
19004,F,2019,266
19004,PF,2018,614
19004,PF,2019,601
19005,F,2018,2010
19005,F,2019,2029
19005,PF,2018,4826
19005,PF,2019,4860
19006,F,2018,620
19006,F,2019,609
19006,PF,2018,1490
19006,PF,2019,1457
19007,F,2018,236
19007,F,2019,236
19007,PF,2018,593
19007,PF,2019,573
19107,F,2018,896
19107,PF,2018,2052
19009,F,2018,495
19009,F,2019,489
19009,PF,2018,1176
19009,PF,2019,1154
19010,F,2018,492
19010,F,2019,490
19010,PF,2018,1239
19010,PF,2019,1233
19011,F,2018,253
19011,F,2019,256
19011,PF,2018,671
19011,PF,2019,672
19012,F,2018,912
19012,F,2019,924
19012,PF,2018,2159
19012,PF,2019,2166
19013,F,2018,218
19013,F,2019,216
19013,PF,2018,545
19013,PF,2019,546
19014,F,2018,164
19014,F,2019,169
19014,PF,2018,401
19014,PF,2019,416
19015,F,2018,966
19015,F,2019,975
19015,PF,2018,2307
19015,PF,2019,2307
19016,F,2018,1537
19016,F,2019,1547
19016,PF,2018,3531
19016,PF,2019,3551
19017,F,2018,734
19017,F,2019,745
19017,PF,2018,1853
19017,PF,2019,1864
19018,F,2018,489
19018,F,2019,493
19018,PF,2018,1147
19018,PF,2019,1142
19019,F,2018,209
19019,F,2019,207
19019,PF,2018,530
19019,PF,2019,515
19020,F,2018,708
19020,F,2019,706
19020,PF,2018,1804
19020,PF,2019,1807
19021,F,2018,6331
19021,F,2019,6364
19021,PF,2018,15209
19021,PF,2019,15263
19022,F,2018,655
19022,F,2019,652
19022,PF,2018,1541
19022,PF,2019,1552
19023,F,2018,236
19023,F,2019,237
19023,PF,2018,566
19023,PF,2019,566
19024,F,2018,176
19024,F,2019,177
19024,PF,2018,436
19024,PF,2019,442
19025,F,2018,3989
19025,F,2019,3994
19025,PF,2018,9316
19025,PF,2019,9292
19026,F,2018,2333
19026,F,2019,2338
19026,PF,2018,5455
19026,PF,2019,5433
19027,F,2018,128
19027,F,2019,131
19027,PF,2018,300
19027,PF,2019,306
19028,F,2018,224
19028,F,2019,213
19028,PF,2018,495
19028,PF,2019,478
19029,F,2018,934
19029,F,2019,930
19029,PF,2018,2268
19029,PF,2019,2271
19030,F,2018,389
19030,F,2019,380
19030,PF,2018,915
19030,PF,2019,893
19031,F,2018,442
19031,F,2019,438
19031,PF,2018,1079
19031,PF,2019,1071
19032,F,2018,430
19032,F,2019,430
19032,PF,2018,1072
19032,PF,2019,1075
19033,F,2018,590
19033,F,2019,584
19033,PF,2018,1358
19033,PF,2019,1348
19034,F,2018,642
19034,F,2019,634
19034,PF,2018,1565
19034,PF,2019,1565
19035,F,2018,15645
19035,F,2019,15770
19035,PF,2018,34056
19035,PF,2019,34177
19036,F,2018,33719
19036,F,2019,33933
19036,PF,2018,70586
19036,PF,2019,70725
19037,F,2018,714
19037,F,2019,714
19037,PF,2018,1753
19037,PF,2019,1727
19038,F,2018,293
19038,F,2019,296
19038,PF,2018,638
19038,PF,2019,634
19039,F,2018,174
19039,F,2019,175
19039,PF,2018,433
19039,PF,2019,432
19040,F,2018,141
19040,F,2019,140
19040,PF,2018,306
19040,PF,2019,302
19041,F,2018,1536
19041,F,2019,1532
19041,PF,2018,3772
19041,PF,2019,3748
19116,F,2018,1680
19116,PF,2018,3924
19043,F,2018,476
19043,F,2019,485
19043,PF,2018,1193
19043,PF,2019,1213
19044,F,2018,446
19044,F,2019,440
19044,PF,2018,1038
19044,PF,2019,1037
19045,F,2018,376
19045,F,2019,375
19045,PF,2018,864
19045,PF,2019,877
19046,F,2018,823
19046,F,2019,826
19046,PF,2018,1932
19046,PF,2019,1910
19047,F,2018,499
19047,F,2019,491
19047,PF,2018,1166
19047,PF,2019,1140
19048,F,2018,569
19048,F,2019,573
19048,PF,2018,1323
19048,PF,2019,1331
19049,F,2018,266
19049,F,2019,273
19049,PF,2018,618
19049,PF,2019,624
19050,F,2018,600
19050,F,2019,603
19050,PF,2018,1482
19050,PF,2019,1502
19051,F,2018,739
19051,F,2019,734
19051,PF,2018,1737
19051,PF,2019,1717
19052,F,2018,1098
19052,F,2019,1104
19052,PF,2018,2688
19052,PF,2019,2688
19053,F,2018,508
19053,F,2019,504
19053,PF,2018,1135
19053,PF,2019,1111
19054,F,2018,833
19054,F,2019,824
19054,PF,2018,1977
19054,PF,2019,1958
19055,F,2018,1149
19055,F,2019,1153
19055,PF,2018,2831
19055,PF,2019,2815
19056,F,2018,689
19056,F,2019,688
19056,PF,2018,1703
19056,PF,2019,1710
19057,F,2018,790
19057,F,2019,797
19057,PF,2018,2035
19057,PF,2019,2046
19058,F,2018,893
19058,F,2019,899
19058,PF,2018,2274
19058,PF,2019,2269
19059,F,2018,1036
19059,F,2019,1037
19059,PF,2018,2487
19059,PF,2019,2484
19060,F,2018,305
19060,F,2019,302
19060,PF,2018,745
19060,PF,2019,747
19061,F,2018,383
19061,F,2019,363
19061,PF,2018,887
19061,PF,2019,833
19062,F,2018,2443
19062,F,2019,2455
19062,PF,2018,5969
19062,PF,2019,5977
19063,F,2018,398
19063,F,2019,389
19063,PF,2018,926
19063,PF,2019,929
19064,F,2018,1148
19064,F,2019,1142
19064,PF,2018,2806
19064,PF,2019,2775
19065,F,2018,592
19065,F,2019,590
19065,PF,2018,1397
19065,PF,2019,1385
19066,F,2018,1596
19066,F,2019,1608
19066,PF,2018,3808
19066,PF,2019,3816
19067,F,2018,3697
19067,F,2019,3714
19067,PF,2018,8859
19067,PF,2019,8838
19068,F,2018,1382
19068,F,2019,1388
19068,PF,2018,3360
19068,PF,2019,3346
19069,F,2018,619
19069,F,2019,626
19069,PF,2018,1509
19069,PF,2019,1503
19070,F,2018,255
19070,F,2019,256
19070,PF,2018,617
19070,PF,2019,596
19072,F,2018,1006
19072,F,2019,1001
19072,PF,2018,2472
19072,PF,2019,2476
19073,F,2018,440
19073,F,2019,447
19073,PF,2018,1115
19073,PF,2019,1120
19074,F,2018,516
19074,F,2019,516
19074,PF,2018,1267
19074,PF,2019,1265
19075,F,2018,638
19075,F,2019,643
19075,PF,2018,1577
19075,PF,2019,1575
19076,F,2018,2792
19076,F,2019,2799
19076,PF,2018,6338
19076,PF,2019,6317
19077,F,2018,573
19077,F,2019,570
19077,PF,2018,1447
19077,PF,2019,1427
19078,F,2018,359
19078,F,2019,353
19078,PF,2018,903
19078,PF,2019,888
19079,F,2018,619
19079,F,2019,638
19079,PF,2018,1704
19079,PF,2019,1752
19080,F,2018,419
19080,F,2019,425
19080,PF,2018,994
19080,PF,2019,1000
19081,F,2018,1437
19081,F,2019,1437
19081,PF,2018,3353
19081,PF,2019,3360
19082,F,2018,203
19082,F,2019,201
19082,PF,2018,532
19082,PF,2019,527
19083,F,2018,781
19083,F,2019,760
19083,PF,2018,1884
19083,PF,2019,1833
19084,F,2018,3381
19084,F,2019,3409
19084,PF,2018,7771
19084,PF,2019,7804
19085,F,2018,921
19085,F,2019,910
19085,PF,2018,2247
19085,PF,2019,2200
19086,F,2018,1237
19086,F,2019,1247
19086,PF,2018,3067
19086,PF,2019,3093
19087,F,2018,478
19087,F,2019,476
19087,PF,2018,1146
19087,PF,2019,1139
19088,F,2018,853
19088,F,2019,849
19088,PF,2018,2049
19088,PF,2019,2029
19089,F,2018,610
19089,F,2019,604
19089,PF,2018,1341
19089,PF,2019,1317
19090,F,2018,741
19090,F,2019,753
19090,PF,2018,1878
19090,PF,2019,1880
19091,F,2018,177
19091,F,2019,180
19091,PF,2018,408
19091,PF,2019,405
19092,F,2018,587
19092,F,2019,587
19092,PF,2018,1315
19092,PF,2019,1316
19093,F,2018,241
19093,F,2019,236
19093,PF,2018,522
19093,PF,2019,537
19094,F,2018,1404
19094,F,2019,1418
19094,PF,2018,3487
19094,PF,2019,3498
19095,F,2018,1293
19095,F,2019,1286
19095,PF,2018,3155
19095,PF,2019,3169
19096,F,2018,397
19096,F,2019,402
19096,PF,2018,924
19096,PF,2019,934
19097,F,2018,3219
19097,F,2019,3239
19097,PF,2018,7505
19097,PF,2019,7503
19098,F,2018,3666
19098,F,2019,3657
19098,PF,2018,8623
19098,PF,2019,8557
19099,F,2018,1114
19099,F,2019,1117
19099,PF,2018,2573
19099,PF,2019,2596
19100,F,2018,628
19100,F,2019,637
19100,PF,2018,1456
19100,PF,2019,1474
19101,F,2018,260
19101,F,2019,260
19101,PF,2018,604
19101,PF,2019,606
19102,F,2018,2796
19102,F,2019,2823
19102,PF,2018,6788
19102,PF,2019,6841
19103,F,2018,606
19103,F,2019,601
19103,PF,2018,1494
19103,PF,2019,1461
19104,F,2018,170
19104,F,2019,168
19104,PF,2018,427
19104,PF,2019,418
19105,F,2018,204
19105,F,2019,201
19105,PF,2018,480
19105,PF,2019,471
19106,F,2018,178
19106,F,2019,177
19106,PF,2018,440
19106,PF,2019,435
19107,F,2019,893
19107,PF,2019,2056
19108,F,2018,243
19108,F,2019,248
19108,PF,2018,580
19108,PF,2019,595
19109,F,2018,1184
19109,F,2019,1176
19109,PF,2018,2809
19109,PF,2019,2793
19110,F,2018,683
19110,F,2019,681
19110,PF,2018,1636
19110,PF,2019,1625
19111,F,2018,1496
19111,F,2019,1512
19111,PF,2018,3657
19111,PF,2019,3623
19112,F,2018,1889
19112,F,2019,1880
19112,PF,2018,4473
19112,PF,2019,4466
19113,F,2018,1562
19113,F,2019,1561
19113,PF,2018,3758
19113,PF,2019,3742
19114,F,2018,210
19114,F,2019,213
19114,PF,2018,486
19114,PF,2019,482
19115,F,2018,148
19115,F,2019,147
19115,PF,2018,338
19115,PF,2019,338
19116,F,2019,1673
19116,PF,2019,3892
20001,F,2018,1193
20001,F,2019,1171
20001,PF,2018,2832
20001,PF,2019,2793
20002,F,2018,4012
20002,F,2019,4037
20002,PF,2018,9899
20002,PF,2019,9921
20003,F,2018,2387
20003,F,2019,2389
20003,PF,2018,5781
20003,PF,2019,5741
20057,F,2018,5099
20057,PF,2018,11732
20073,F,2018,850
20073,PF,2018,1951
20007,F,2018,1704
20007,F,2019,1705
20007,PF,2018,4023
20007,PF,2019,4023
20008,F,2018,1738
20008,F,2019,1728
20008,PF,2018,4328
20008,PF,2019,4250
20010,F,2018,863
20010,F,2019,858
20010,PF,2018,2204
20010,PF,2019,2194
20011,F,2018,989
20011,F,2019,1020
20011,PF,2018,2674
20011,PF,2019,2715
20012,F,2018,612
20012,F,2019,613
20012,PF,2018,1500
20012,PF,2019,1502
20013,F,2018,1263
20013,F,2019,1260
20013,PF,2018,3178
20013,PF,2019,3156
20014,F,2018,1898
20014,F,2019,1892
20014,PF,2018,4541
20014,PF,2019,4491
20015,F,2018,4964
20015,F,2019,4961
20015,PF,2018,12501
20015,PF,2019,12478
20016,F,2018,2124
20016,F,2019,2135
20016,PF,2018,5163
20016,PF,2019,5178
20017,F,2018,9323
20017,F,2019,9445
20017,PF,2018,23260
20017,PF,2019,23360
20018,F,2018,1483
20018,F,2019,1476
20018,PF,2018,3785
20018,PF,2019,3765
20019,F,2018,996
20019,F,2019,1001
20019,PF,2018,2576
20019,PF,2019,2555
20020,F,2018,464
20020,F,2019,479
20020,PF,2018,1097
20020,PF,2019,1109
20021,F,2018,6209
20021,F,2019,6234
20021,PF,2018,14788
20021,PF,2019,14830
20022,F,2018,1380
20022,F,2019,1370
20022,PF,2018,3370
20022,PF,2019,3341
20024,F,2018,1177
20024,F,2019,1192
20024,PF,2018,2946
20024,PF,2019,2981
20025,F,2018,949
20025,F,2019,947
20025,PF,2018,2210
20025,PF,2019,2160
20026,F,2018,4015
20026,F,2019,4031
20026,PF,2018,10064
20026,PF,2019,10025
20027,F,2018,3364
20027,F,2019,3372
20027,PF,2018,8866
20027,PF,2019,8791
20028,F,2018,2334
20028,F,2019,2358
20028,PF,2018,5910
20028,PF,2019,5944
20029,F,2018,633
20029,F,2019,621
20029,PF,2018,1502
20029,PF,2019,1467
20030,F,2018,23588
20030,F,2019,23727
20030,PF,2018,47956
20030,PF,2019,47956
20031,F,2018,2681
20031,F,2019,2681
20031,PF,2018,6419
20031,PF,2019,6357
20032,F,2018,300
20032,F,2019,304
20032,PF,2018,775
20032,PF,2019,806
20033,F,2018,3133
20033,F,2019,3147
20033,PF,2018,7693
20033,PF,2019,7656
20034,F,2018,1634
20034,F,2019,1641
20034,PF,2018,4115
20034,PF,2019,4105
20035,F,2018,2236
20035,F,2019,2250
20035,PF,2018,5359
20035,PF,2019,5344
20036,F,2018,2011
20036,F,2019,2032
20036,PF,2018,4859
20036,PF,2019,4893
20037,F,2018,975
20037,F,2019,962
20037,PF,2018,2520
20037,PF,2019,2497
20038,F,2018,2876
20038,F,2019,2879
20038,PF,2018,6496
20038,PF,2019,6465
20039,F,2018,2791
20039,F,2019,2800
20039,PF,2018,6953
20039,PF,2019,6934
20041,F,2018,669
20041,F,2019,674
20041,PF,2018,1686
20041,PF,2019,1709
20042,F,2018,2789
20042,F,2019,2744
20042,PF,2018,6501
20042,PF,2019,6479
20043,F,2018,626
20043,F,2019,633
20043,PF,2018,1663
20043,PF,2019,1668
20044,F,2018,1004
20044,F,2019,985
20044,PF,2018,2370
20044,PF,2019,2316
20045,F,2018,6929
20045,F,2019,6962
20045,PF,2018,16411
20045,PF,2019,16408
20046,F,2018,493
20046,F,2019,480
20046,PF,2018,1135
20046,PF,2019,1103
20047,F,2018,2332
20047,F,2019,2307
20047,PF,2018,5442
20047,PF,2019,5358
20048,F,2018,514
20048,F,2019,511
20048,PF,2018,1258
20048,PF,2019,1239
20050,F,2018,994
20050,F,2019,979
20050,PF,2018,2441
20050,PF,2019,2394
20051,F,2018,2079
20051,F,2019,2096
20051,PF,2018,5135
20051,PF,2019,5130
20052,F,2018,2847
20052,F,2019,2853
20052,PF,2018,6837
20052,PF,2019,6811
20053,F,2018,3370
20053,F,2019,3373
20053,PF,2018,8549
20053,PF,2019,8537
20054,F,2018,1734
20054,F,2019,1727
20054,PF,2018,4117
20054,PF,2019,4089
20055,F,2018,2908
20055,F,2019,2932
20055,PF,2018,6808
20055,PF,2019,6771
20056,F,2018,647
20056,F,2019,659
20056,PF,2018,1526
20056,PF,2019,1513
20057,F,2019,5085
20057,PF,2019,11763
20058,F,2018,500
20058,F,2019,504
20058,PF,2018,1209
20058,PF,2019,1229
20059,F,2018,736
20059,F,2019,735
20059,PF,2018,1687
20059,PF,2019,1656
20060,F,2018,504
20060,F,2019,498
20060,PF,2018,1120
20060,PF,2019,1102
20061,F,2018,3175
20061,F,2019,3172
20061,PF,2018,7182
20061,PF,2019,7171
20062,F,2018,617
20062,F,2019,616
20062,PF,2018,1429
20062,PF,2019,1433
20063,F,2018,1152
20063,F,2019,1161
20063,PF,2018,2654
20063,PF,2019,2658
20064,F,2018,841
20064,F,2019,846
20064,PF,2018,2018
20064,PF,2019,2034
20065,F,2018,8596
20065,F,2019,8621
20065,PF,2018,21118
20065,PF,2019,21121
20066,F,2018,8094
20066,F,2019,8107
20066,PF,2018,19688
20066,PF,2019,19658
20068,F,2018,901
20068,F,2019,884
20068,PF,2018,2163
20068,PF,2019,2136
20070,F,2018,2948
20070,F,2019,2974
20070,PF,2018,7208
20070,PF,2019,7215
20071,F,2018,6080
20071,F,2019,6121
20071,PF,2018,14404
20071,PF,2019,14385
20072,F,2018,2429
20072,F,2019,2408
20072,PF,2018,5499
20072,PF,2019,5462
20073,F,2019,835
20073,PF,2019,1909
21001,F,2018,632
21001,F,2019,643
21001,PF,2018,1677
21001,PF,2019,1678
21002,F,2018,422
21002,F,2019,427
21002,PF,2018,1028
21002,PF,2019,1039
21003,F,2018,178
21003,F,2019,179
21003,PF,2018,404
21003,PF,2019,400
21004,F,2018,6326
21004,F,2019,6353
21004,PF,2018,14554
21004,PF,2019,14633
21005,F,2018,310
21005,F,2019,312
21005,PF,2018,785
21005,PF,2019,786
21006,F,2018,1308
21006,F,2019,1319
21006,PF,2018,3555
21006,PF,2019,3521
21007,F,2018,686
21007,F,2019,696
21007,PF,2018,1731
21007,PF,2019,1738
21008,F,2018,48922
21008,F,2019,49259
21008,PF,2018,105116
21008,PF,2019,105568
21009,F,2018,235
21009,F,2019,243
21009,PF,2018,661
21009,PF,2019,663
21010,F,2018,932
21010,F,2019,955
21010,PF,2018,2202
21010,PF,2019,2225
21011,F,2018,9325
21011,F,2019,9495
21011,PF,2018,21935
21011,PF,2019,22149
21012,F,2018,1178
21012,F,2019,1173
21012,PF,2018,2806
21012,PF,2019,2795
21013,F,2018,7251
21013,F,2019,7377
21013,PF,2018,16494
21013,PF,2019,16616
21014,F,2018,161
21014,F,2019,161
21014,PF,2018,397
21014,PF,2019,391
21015,F,2018,3477
21015,F,2019,3487
21015,PF,2018,8011
21015,PF,2019,8005
21016,F,2018,1067
21016,F,2019,1078
21016,PF,2018,2652
21016,PF,2019,2667
21017,F,2018,2258
21017,F,2019,2300
21017,PF,2018,5416
21017,PF,2019,5453
21018,F,2018,938
21018,F,2019,945
21018,PF,2018,2300
21018,PF,2019,2296
21019,F,2018,2831
21019,F,2019,2871
21019,PF,2018,6809
21019,PF,2019,6895
21020,F,2018,634
21020,F,2019,642
21020,PF,2018,1528
21020,PF,2019,1542
21021,F,2018,1150
21021,F,2019,1192
21021,PF,2018,2872
21021,PF,2019,2916
21022,F,2018,2085
21022,F,2019,2090
21022,PF,2018,5154
21022,PF,2019,5177
21023,F,2018,1332
21023,F,2019,1364
21023,PF,2018,3433
21023,PF,2019,3418
21024,F,2018,918
21024,F,2019,933
21024,PF,2018,2192
21024,PF,2019,2177
21025,F,2018,297
21025,F,2019,291
21025,PF,2018,660
21025,PF,2019,651
21026,F,2018,554
21026,F,2019,557
21026,PF,2018,1373
21026,PF,2019,1376
21027,F,2018,906
21027,F,2019,906
21027,PF,2018,2342
21027,PF,2019,2347
21028,F,2018,1307
21028,F,2019,1324
21028,PF,2018,3331
21028,PF,2019,3332
21029,F,2018,2334
21029,F,2019,2361
21029,PF,2018,5315
21029,PF,2019,5402
21030,F,2018,1132
21030,F,2019,1174
21030,PF,2018,2849
21030,PF,2019,2892
21031,F,2018,1444
21031,F,2019,1459
21031,PF,2018,3498
21031,PF,2019,3544
21032,F,2018,408
21032,F,2019,411
21032,PF,2018,995
21032,PF,2019,1002
21033,F,2018,970
21033,F,2019,967
21033,PF,2018,2607
21033,PF,2019,2570
21034,F,2018,1296
21034,F,2019,1317
21034,PF,2018,3281
21034,PF,2019,3278
21035,F,2018,730
21035,F,2019,746
21035,PF,2018,1734
21035,PF,2019,1758
21036,F,2018,368
21036,F,2019,371
21036,PF,2018,881
21036,PF,2019,895
21037,F,2018,2155
21037,F,2019,2154
21037,PF,2018,5184
21037,PF,2019,5192
21038,F,2018,2180
21038,F,2019,2210
21038,PF,2018,4937
21038,PF,2019,4985
21039,F,2018,1057
21039,F,2019,1077
21039,PF,2018,2708
21039,PF,2019,2741
21040,F,2018,7641
21040,F,2019,7690
21040,PF,2018,17851
21040,PF,2019,17842
21041,F,2018,5310
21041,F,2019,5375
21041,PF,2018,12197
21041,PF,2019,12237
21042,F,2018,1563
21042,F,2019,1586
21042,PF,2018,3983
21042,PF,2019,4035
21043,F,2018,117
21043,F,2019,114
21043,PF,2018,347
21043,PF,2019,343
21044,F,2018,576
21044,F,2019,580
21044,PF,2018,1540
21044,PF,2019,1533
21045,F,2018,541
21045,F,2019,540
21045,PF,2018,1271
21045,PF,2019,1276
21046,F,2018,2001
21046,F,2019,2050
21046,PF,2018,5101
21046,PF,2019,5129
21047,F,2018,1137
21047,F,2019,1148
21047,PF,2018,3071
21047,PF,2019,3099
21048,F,2018,1244
21048,F,2019,1253
21048,PF,2018,2749
21048,PF,2019,2780
21049,F,2018,331
21049,F,2019,330
21049,PF,2018,841
21049,PF,2019,831
21050,F,2018,638
21050,F,2019,638
21050,PF,2018,1695
21050,PF,2019,1693
21051,F,2018,18653
21051,F,2019,18823
21051,PF,2018,39768
21051,PF,2019,40132
21052,F,2018,1148
21052,F,2019,1163
21052,PF,2018,2907
21052,PF,2019,2930
21053,F,2018,703
21053,F,2019,707
21053,PF,2018,1672
21053,PF,2019,1684
21054,F,2018,728
21054,F,2019,735
21054,PF,2018,2069
21054,PF,2019,2054
21055,F,2018,855
21055,F,2019,857
21055,PF,2018,2029
21055,PF,2019,1989
21056,F,2018,2468
21056,F,2019,2478
21056,PF,2018,5847
21056,PF,2019,5866
21057,F,2018,1244
21057,F,2019,1271
21057,PF,2018,3223
21057,PF,2019,3241
21058,F,2018,878
21058,F,2019,904
21058,PF,2018,1940
21058,PF,2019,1981
21059,F,2018,1551
21059,F,2019,1581
21059,PF,2018,3913
21059,PF,2019,3951
21060,F,2018,1616
21060,F,2019,1655
21060,PF,2018,3766
21060,PF,2019,3826
21061,F,2018,1972
21061,F,2019,1993
21061,PF,2018,4837
21061,PF,2019,4847
21062,F,2018,1536
21062,F,2019,1573
21062,PF,2018,3767
21062,PF,2019,3794
21063,F,2018,635
21063,F,2019,647
21063,PF,2018,1588
21063,PF,2019,1624
21064,F,2018,285
21064,F,2019,288
21064,PF,2018,727
21064,PF,2019,740
21065,F,2018,91
21065,F,2019,90
21065,PF,2018,195
21065,PF,2019,192
21066,F,2018,815
21066,F,2019,825
21066,PF,2018,1885
21066,PF,2019,1916
21067,F,2018,1486
21067,F,2019,1500
21067,PF,2018,3599
21067,PF,2019,3629
21068,F,2018,235
21068,F,2019,234
21068,PF,2018,545
21068,PF,2019,546
21069,F,2018,99
21069,F,2019,96
21069,PF,2018,267
21069,PF,2019,258
21070,F,2018,1748
21070,F,2019,1775
21070,PF,2018,4491
21070,PF,2019,4536
21071,F,2018,1133
21071,F,2019,1143
21071,PF,2018,2924
21071,PF,2019,2938
21072,F,2018,3150
21072,F,2019,3203
21072,PF,2018,7896
21072,PF,2019,7927
21073,F,2018,517
21073,F,2019,544
21073,PF,2018,1340
21073,PF,2019,1372
21074,F,2018,1217
21074,F,2019,1227
21074,PF,2018,3092
21074,PF,2019,3105
21075,F,2018,486
21075,F,2019,492
21075,PF,2018,1240
21075,PF,2019,1263
21076,F,2018,1539
21076,F,2019,1547
21076,PF,2018,3785
21076,PF,2019,3779
21077,F,2018,1307
21077,F,2019,1331
21077,PF,2018,3268
21077,PF,2019,3268
21079,F,2018,1173
21079,F,2019,1194
21079,PF,2018,3092
21079,PF,2019,3098
21080,F,2018,1375
21080,F,2019,1387
21080,PF,2018,3500
21080,PF,2019,3514
21081,F,2018,1515
21081,F,2019,1528
21081,PF,2018,3879
21081,PF,2019,3883
21082,F,2018,647
21082,F,2019,658
21082,PF,2018,1753
21082,PF,2019,1749
21083,F,2018,1258
21083,F,2019,1267
21083,PF,2018,3208
21083,PF,2019,3210
21084,F,2018,603
21084,F,2019,600
21084,PF,2018,1530
21084,PF,2019,1527
21085,F,2018,805
21085,F,2019,815
21085,PF,2018,1981
21085,PF,2019,2024
21086,F,2018,2819
21086,F,2019,2863
21086,PF,2018,7090
21086,PF,2019,7103
21087,F,2018,1108
21087,F,2019,1123
21087,PF,2018,2892
21087,PF,2019,2900
21088,F,2018,530
21088,F,2019,542
21088,PF,2018,1451
21088,PF,2019,1442
21089,F,2018,1013
21089,F,2019,1010
21089,PF,2018,2633
21089,PF,2019,2590
21091,F,2018,480
21091,F,2019,488
21091,PF,2018,1220
21091,PF,2019,1240
21092,F,2018,782
21092,F,2019,786
21092,PF,2018,1874
21092,PF,2019,1877
21093,F,2018,2464
21093,F,2019,2507
21093,PF,2018,6035
21093,PF,2019,6081
21094,F,2018,750
21094,F,2019,763
21094,PF,2018,1792
21094,PF,2019,1799
21095,F,2018,489
21095,F,2019,493
21095,PF,2018,1141
21095,PF,2019,1150
21096,F,2018,669
21096,F,2019,677
21096,PF,2018,1780
21096,PF,2019,1779
21097,F,2018,1861
21097,F,2019,1892
21097,PF,2018,4495
21097,PF,2019,4529
21098,F,2018,1436
21098,F,2019,1432
21098,PF,2018,3434
21098,PF,2019,3445
21099,F,2018,819
21099,F,2019,827
21099,PF,2018,1895
21099,PF,2019,1904
21100,F,2018,398
21100,F,2019,411
21100,PF,2018,995
21100,PF,2019,1000
21101,F,2018,998
21101,F,2019,1007
21101,PF,2018,2422
21101,PF,2019,2420
21102,F,2018,443
21102,F,2019,447
21102,PF,2018,1044
21102,PF,2019,1060
21103,F,2018,391
21103,F,2019,385
21103,PF,2018,942
21103,PF,2019,924
21104,F,2018,1080
21104,F,2019,1110
21104,PF,2018,2860
21104,PF,2019,2884
21105,F,2018,433
21105,F,2019,438
21105,PF,2018,1059
21105,PF,2019,1053
21106,F,2018,1254
21106,F,2019,1254
21106,PF,2018,3142
21106,PF,2019,3113
21107,F,2018,1207
21107,F,2019,1220
21107,PF,2018,3012
21107,PF,2019,3019
21108,F,2018,2257
21108,F,2019,2288
21108,PF,2018,5961
21108,PF,2019,5964
21109,F,2018,772
21109,F,2019,788
21109,PF,2018,2308
21109,PF,2019,2325
21110,F,2018,1270
21110,F,2019,1278
21110,PF,2018,3298
21110,PF,2019,3283
21111,F,2018,1901
21111,F,2019,1960
21111,PF,2018,4675
21111,PF,2019,4773
21112,F,2018,344
21112,F,2019,348
21112,PF,2018,968
21112,PF,2019,982
21113,F,2018,633
21113,F,2019,648
21113,PF,2018,1547
21113,PF,2019,1569
21114,F,2018,718
21114,F,2019,714
21114,PF,2018,1857
21114,PF,2019,1834
21115,F,2018,3061
21115,F,2019,3134
21115,PF,2018,6737
21115,PF,2019,6830
21116,F,2018,1070
21116,F,2019,1081
21116,PF,2018,2945
21116,PF,2019,2935
21117,F,2018,485
21117,F,2019,487
21117,PF,2018,1406
21117,PF,2019,1417
21118,F,2018,312
21118,F,2019,307
21118,PF,2018,772
21118,PF,2019,771
22001,F,2018,3588
22001,F,2019,3608
22001,PF,2018,8711
22001,PF,2019,8691
22002,F,2018,592
22002,F,2019,599
22002,PF,2018,1490
22002,PF,2019,1490
22003,F,2018,1378
22003,F,2019,1370
22003,PF,2018,3187
22003,PF,2019,3168
22005,F,2018,514
22005,F,2019,525
22005,PF,2018,1104
22005,PF,2019,1128
22006,F,2018,7717
22006,F,2019,7801
22006,PF,2018,17543
22006,PF,2019,17671
22007,F,2018,1637
22007,F,2019,1650
22007,PF,2018,4006
22007,PF,2019,4046
22009,F,2018,2132
22009,F,2019,2178
22009,PF,2018,5002
22009,PF,2019,5061
22011,F,2018,660
22011,F,2019,661
22011,PF,2018,1478
22011,PF,2019,1483
22013,F,2018,1096
22013,F,2019,1133
22013,PF,2018,2660
22013,PF,2019,2718
22015,F,2018,206
