CMN,dominio,anno,valore
1027,PF,2019,2131
1028,F,2018,5009
1028,F,2019,5023
1028,PF,2018,11869
1028,PF,2019,11842
1029,F,2018,279
1029,F,2019,283
1029,PF,2018,566
1029,PF,2019,578
1030,F,2018,1666
1030,F,2019,1676
1030,PF,2018,3619
1030,PF,2019,3588
1031,F,2018,381
1031,F,2019,378
1031,PF,2018,769
1031,PF,2019,777
1032,F,2018,1030
1032,F,2019,1029
1032,PF,2018,2194
1032,PF,2019,2192
1033,F,2018,1287
1033,F,2019,1288
1033,PF,2018,3060
1033,PF,2019,3045
1034,F,2018,3662
1034,F,2019,3727
1034,PF,2018,8539
1034,PF,2019,8599
1035,F,2018,2053
1035,F,2019,2054
1035,PF,2018,4601
1035,PF,2019,4565
1036,F,2018,212
1036,F,2019,220
1036,PF,2018,393
1036,PF,2019,401
1037,F,2018,215
1037,F,2019,214
1037,PF,2018,433
1037,PF,2019,440
1038,F,2018,3547
1038,F,2019,3556
1038,PF,2018,8615
1038,PF,2019,8557
1039,F,2018,668
1039,F,2019,668
1039,PF,2018,1469
1039,PF,2019,1448
1040,F,2018,693
1040,F,2019,690
1040,PF,2018,1526
1040,PF,2019,1510
1041,F,2018,515
1041,F,2019,518
1041,PF,2018,1310
1041,PF,2019,1321
1042,F,2018,529
1042,F,2019,533
1042,PF,2018,1130
1042,PF,2019,1118
1043,F,2018,662
1043,F,2019,664
1043,PF,2018,1621
1043,PF,2019,1623
1044,F,2018,2809
1044,F,2019,2805
1044,PF,2018,5922
1044,PF,2019,5806
1045,F,2018,2797
1045,F,2019,2784
1045,PF,2018,6386
1045,PF,2019,6314
1046,F,2018,1532
1046,F,2019,1533
1046,PF,2018,3375
1046,PF,2019,3343
1047,F,2018,3483
1047,F,2019,3480
1047,PF,2018,7423
1047,PF,2019,7357
1048,F,2018,2488
1048,F,2019,2496
1048,PF,2018,5932
1048,PF,2019,5947
1049,F,2018,593
1049,F,2019,591
1049,PF,2018,1334
1049,PF,2019,1339
1050,F,2018,545
1050,F,2019,537
1050,PF,2018,1191
1050,PF,2019,1171
1051,F,2018,2359
1051,F,2019,2354
1051,PF,2018,5631
1051,PF,2019,5641
1052,F,2018,149
1052,F,2019,142
1052,PF,2018,279
1052,PF,2019,274
1053,F,2018,1135
1053,F,2019,1121
1053,PF,2018,2604
1053,PF,2019,2569
1054,F,2018,319
1054,F,2019,327
1054,PF,2018,586
1054,PF,2019,594
1055,F,2018,960
1055,F,2019,948
1055,PF,2018,2075
1055,PF,2019,2059
1056,F,2018,431
1056,F,2019,424
1056,PF,2018,896
1056,PF,2019,897
1057,F,2018,384
1057,F,2019,382
1057,PF,2018,766
1057,PF,2019,765
1058,F,2018,3998
1058,F,2019,4024
1058,PF,2018,9132
1058,PF,2019,9112
1059,F,2018,12230
1059,F,2019,12287
1059,PF,2018,28349
1059,PF,2019,28273
1060,F,2018,847
1060,F,2019,849
1060,PF,2018,1853
1060,PF,2019,1849
1061,F,2018,679
1061,F,2019,693
1061,PF,2018,1506
1061,PF,2019,1511
1062,F,2018,1272
1062,F,2019,1279
1062,PF,2018,3016
1062,PF,2019,3014
1063,F,2018,6008
1063,F,2019,6071
1063,PF,2018,13823
1063,PF,2019,13841
1064,F,2018,768
1064,F,2019,766
1064,PF,2018,1761
1064,PF,2019,1738
